"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C8,C2,C7,C1";"C_1206_3216Metric";4;"1мк";;;
2;"R7,R10";"R_0603_1608Metric";2;"47";;;
3;"R9,R8";"R_0603_1608Metric";2;"560";;;
4;"R3,R5,R6,R4";"R_0603_1608Metric";4;"2к2";;;
5;"X2";"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal";1;"CONN_RS232";;;
6;"VT1";"SOT-23";1;"BC807";;;
7;"DA1";"SO-16_3.9x9.9mm_P1.27mm";1;"MAX232_GOST";;;
8;"C3,C5";"C_1206_3216Metric";2;"10мк";;;
9;"X3";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";1;"CONN_2";;;
10;"R11";"R_0603_1608Metric";1;"120";;;
11;"R1,R2";"R_0603_1608Metric";2;"1к";;;
12;"DA2";"TO-252-2";1;"LM7805";;;
13;"X1";"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal";1;"CONN_PWR";;;
14;"VD1";"D_0805_2012Metric";1;"VD";;;
15;"C4,C6";"C_1206_3216Metric";2;"100н";;;
16;"DA3";"SO-8_3.9x4.9mm_P1.27mm";1;"MAX485";;;
17;"HL1";"LED_1210_3225Metric";1;"RED";;;
18;"HL2";"LED_1210_3225Metric";1;"GREEN";;;
